location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20110616T0000,98.0,64.0,81.291664
20110617T0000,95.0,52.0,76.083336
20110618T0000,83.0,60.0,71.333336
20110619T0000,85.0,56.0,69.916664
20110620T0000,89.0,59.0,74.625
20110621T0000,90.0,49.0,68.375
20110622T0000,97.0,50.0,77.333336
20110623T0000,92.0,51.0,70.958336
20110624T0000,93.0,54.0,70.875
20110625T0000,89.0,45.0,65.041664
20110626T0000,83.0,58.0,68.916664
20110627T0000,97.0,51.0,70.416664
20110628T0000,100.0,46.0,63.916668
20110629T0000,94.0,62.0,77.208336
20110630T0000,94.0,55.0,75.083336
20110701T0000,92.0,50.0,71.75
20110702T0000,89.0,48.0,68.375
20110703T0000,88.0,45.0,64.458336
20110704T0000,85.0,45.0,66.541664
20110705T0000,86.0,44.0,61.833332
20110706T0000,82.0,56.0,68.541664
20110707T0000,93.0,64.0,82.541664
20110708T0000,88.0,59.0,73.541664
20110709T0000,91.0,55.0,70.708336
20110710T0000,92.0,80.0,86.5
20110711T0000,97.0,57.0,79.041664
20110712T0000,90.0,46.0,66.958336
20110713T0000,97.0,62.0,90.208336
20110714T0000,92.0,52.0,70.875
20110715T0000,89.0,49.0,64.625
20110716T0000,86.0,48.0,63.625
20110717T0000,92.0,61.0,77.625
20110718T0000,84.0,55.0,68.5
20110719T0000,93.0,53.0,80.25
20110720T0000,90.0,66.0,79.625
20110721T0000,94.0,75.0,83.708336
20110722T0000,90.0,72.0,82.375
20110723T0000,97.0,55.0,80.666664
20110724T0000,91.0,56.0,73.708336
20110725T0000,91.0,56.0,70.458336
20110726T0000,79.0,62.0,71.5
20110727T0000,97.0,75.0,83.625
20110728T0000,95.0,69.0,79.583336
20110729T0000,90.0,62.0,75.708336
20110730T0000,96.0,62.0,75.5
20110731T0000,93.0,56.0,74.375
20110801T0000,96.0,62.0,77.333336
20110802T0000,82.0,50.0,65.666664
20110803T0000,83.0,51.0,70.416664
20110804T0000,89.0,60.0,74.166664
20110805T0000,89.0,69.0,76.791664
20110806T0000,91.0,52.0,76.666664
20110807T0000,85.0,67.0,74.291664
20110808T0000,84.0,60.0,69.208336
20110809T0000,88.0,59.0,72.541664
20110810T0000,96.0,48.0,68.541664
20110811T0000,80.0,46.0,60.583332
20110812T0000,95.0,54.0,71.0
20110813T0000,94.0,60.0,74.375
20110814T0000,89.0,59.0,77.583336
20110815T0000,97.0,64.0,79.541664
20110816T0000,97.0,53.0,75.291664
20110817T0000,92.0,54.0,71.791664
20110818T0000,85.0,34.0,63.625
20110819T0000,86.0,49.0,70.125
20110820T0000,97.0,59.0,78.708336
20110821T0000,87.0,46.0,64.541664
20110822T0000,84.0,52.0,64.083336
20110823T0000,86.0,42.0,57.25
20110824T0000,87.0,52.0,68.708336
20110825T0000,97.0,55.0,74.958336
20110826T0000,87.0,57.0,74.0
20110827T0000,89.0,60.0,71.625
20110828T0000,94.0,49.0,69.416664
20110829T0000,89.0,50.0,67.166664
20110830T0000,95.0,52.0,73.125
20110831T0000,87.0,54.0,69.291664
20110901T0000,91.0,60.0,74.0
20110902T0000,94.0,55.0,69.041664
20110903T0000,83.0,51.0,68.333336
20110904T0000,96.0,74.0,88.0
20110905T0000,92.0,57.0,74.375
20110906T0000,93.0,51.0,68.625
20110907T0000,76.0,51.0,65.875
20110908T0000,93.0,53.0,72.333336
20110909T0000,88.0,66.0,76.541664
20110910T0000,93.0,57.0,74.791664
20110911T0000,94.0,55.0,76.041664
20110912T0000,96.0,45.0,69.458336
20110913T0000,89.0,64.0,77.666664
20110914T0000,94.0,55.0,72.958336
20110915T0000,90.0,57.0,73.625
20110916T0000,93.0,58.0,77.666664
20110917T0000,93.0,68.0,80.083336
20110918T0000,96.0,54.0,75.583336
20110919T0000,85.0,72.0,79.291664
20110920T0000,96.0,59.0,76.791664
20110921T0000,88.0,54.0,71.375
20110922T0000,94.0,62.0,77.833336
20110923T0000,95.0,61.0,79.208336
20110924T0000,94.0,60.0,76.708336
20110925T0000,86.0,57.0,71.291664
20110926T0000,81.0,54.0,67.875
20110927T0000,79.0,55.0,67.666664
20110928T0000,89.0,49.0,74.875
20110929T0000,94.0,61.0,75.541664
20110930T0000,89.0,59.0,70.583336
20111001T0000,86.0,55.0,69.416664
20111002T0000,84.0,56.0,69.791664
20111003T0000,80.0,47.0,66.958336
20111004T0000,94.0,46.0,65.875
20111005T0000,88.0,61.0,75.791664
20111006T0000,96.0,60.0,76.0
20111007T0000,85.0,58.0,73.833336
20111008T0000,91.0,76.0,84.333336
20111009T0000,93.0,64.0,81.041664
20111010T0000,94.0,76.0,84.375
20111011T0000,93.0,66.0,81.833336
20111012T0000,96.0,66.0,83.291664
20111013T0000,91.0,72.0,83.791664
20111014T0000,95.0,44.0,66.416664
20111015T0000,95.0,59.0,75.916664
20111016T0000,94.0,67.0,80.833336
20111017T0000,89.0,59.0,75.583336
20111018T0000,91.0,43.0,69.791664
20111019T0000,95.0,79.0,88.125
20111020T0000,92.0,59.0,79.458336
20111021T0000,95.0,52.0,80.416664
20111022T0000,87.0,63.0,74.416664
20111023T0000,89.0,60.0,73.708336
20111024T0000,91.0,57.0,69.208336
20111025T0000,80.0,59.0,72.0
20111026T0000,92.0,60.0,75.416664
20111027T0000,86.0,67.0,77.083336
20111028T0000,89.0,59.0,70.625
20111029T0000,88.0,66.0,74.583336
20111030T0000,86.0,69.0,75.416664
20111031T0000,95.0,69.0,80.458336
20111101T0000,88.0,64.0,74.083336
20111102T0000,91.0,57.0,70.833336
20111103T0000,81.0,62.0,71.291664
20111104T0000,96.0,68.0,83.083336
20111105T0000,96.0,74.0,85.583336
20111106T0000,96.0,74.0,87.958336
20111107T0000,97.0,84.0,91.416664
20111108T0000,96.0,70.0,80.875
20111109T0000,87.0,60.0,73.5
20111110T0000,87.0,69.0,78.916664
20111111T0000,94.0,69.0,81.083336
20111112T0000,92.0,64.0,79.333336
20111113T0000,96.0,68.0,82.125
20111114T0000,96.0,59.0,75.25
20111115T0000,93.0,52.0,70.041664
20111116T0000,86.0,59.0,72.875
20111117T0000,80.0,44.0,65.125
20111118T0000,92.0,55.0,75.458336
20111119T0000,82.0,37.0,59.166668
20111120T0000,81.0,42.0,59.791668
20111121T0000,87.0,60.0,73.291664
20111122T0000,86.0,61.0,70.041664
20111123T0000,82.0,68.0,74.041664
20111124T0000,84.0,64.0,71.541664
20111125T0000,81.0,56.0,68.625
20111126T0000,90.0,59.0,73.125
20111127T0000,99.0,59.0,79.041664
20111128T0000,87.0,75.0,81.5
20111129T0000,86.0,58.0,76.375
20111130T0000,90.0,69.0,79.875
